"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4458","RT @cavs: Here’s your next chance to win #NBAPlayoffs tickets, thanks to @elkandelk!

Tweet one of your favorite Cavs memories this year wi…",FALSE,0,NA,2018-05-18 02:44:52,FALSE,NA,"997306999875538944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","filafresh",98,TRUE,FALSE,NA,NA
"4459","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:44:31,FALSE,NA,"997306911853690880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rlpaet",3241,TRUE,FALSE,NA,NA
"4460","RT @NBAonTNT: .@CP3 flips it up for the TOUGH And-1! 💪

#NBAPlayoffs | #Rockets https://t.co/fIiJGfAyhP",FALSE,0,NA,2018-05-18 02:44:27,FALSE,NA,"997306895932129280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deven_jacobs18",134,TRUE,FALSE,NA,NA
"4461","I haven't forgotten about the #Texans. It's just that I want the #Rockets' season to end in June with confetti rain… https://t.co/UYmakymsWX",FALSE,0,NA,2018-05-18 02:44:12,TRUE,NA,"997306831788756992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StrictlyJohnD",0,FALSE,FALSE,NA,NA
"4462","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:43:30,FALSE,NA,"997306655908876288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bryanbuhain_",3241,TRUE,FALSE,NA,NA
"4463","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:43:22,FALSE,NA,"997306622249701376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmmaDulin",3241,TRUE,FALSE,NA,NA
"4464","RT @kobebryant: 👀@jaytatum0 is the next subject of DETAIL.  Watch my analysis from Game 2 of the Eastern Conference Finals on the ESPN+ app…",FALSE,0,NA,2018-05-18 02:43:14,FALSE,NA,"997306590255599617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Young_Caly",3241,TRUE,FALSE,NA,NA
"4465","RT @AltHistoryPC: In 1974 @kaj33 and the @Bucks took on the @celtics for the NBA Championship and...well, you’ll have to listen to find out…",FALSE,0,NA,2018-05-18 02:42:36,FALSE,NA,"997306430066692096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","samuel_gately",16,TRUE,FALSE,NA,NA
"4466","RT @FinancialSs: #Sponsorship spending on the #NBA totals $1.12 billion in 2017-2018 season. 68% of properties with a #sponsor in the insur…",FALSE,0,NA,2018-05-18 02:41:46,FALSE,NA,"997306218560372737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NJMohamed",13,TRUE,FALSE,NA,NA
"4467","RT @Taehavenn: I am classy 
I am sassy
I am bold, and
I am beautiful 

Get me for just N18,000!

I am most definite limited in stock... I'm…",FALSE,0,NA,2018-05-18 02:41:41,FALSE,NA,"997306199031926789",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tobinifesi",5,TRUE,FALSE,NA,NA
